timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,elapsed_hours
2026-02-26T19:26:45.446922,50,2.592841,13.37,5.000000e-06,16842,1228800,0.0203
2026-02-26T19:27:30.363523,100,2.526205,12.51,1.000000e-05,20849,2457600,0.0327
2026-02-26T19:28:15.460090,150,2.395165,10.97,1.500000e-05,22621,3686400,0.0453
2026-02-26T19:29:00.346254,200,2.302733,10.00,2.000000e-05,23647,4915200,0.0577
2026-02-26T19:29:45.020463,250,2.245320,9.44,2.500000e-05,24329,6144000,0.0701
2026-02-26T19:30:29.249891,300,2.220124,9.21,3.000000e-05,24844,7372800,0.0824
2026-02-26T19:31:12.997515,350,2.216545,9.18,3.500000e-05,25261,8601600,0.0946
2026-02-26T19:31:57.100448,400,2.211873,9.13,4.000000e-05,25559,9830400,0.1068
2026-02-26T19:32:42.395417,450,2.207332,9.09,4.500000e-05,25724,11059200,0.1194
2026-02-26T19:33:27.430342,500,2.149556,8.58,5.000000e-05,25872,12288000,0.1319
2026-02-26T19:34:12.717033,550,2.117905,8.31,4.999983e-05,25982,13516800,0.1445
2026-02-26T19:34:57.817722,600,2.126188,8.38,4.999930e-05,26083,14745600,0.1570
2026-02-26T19:35:42.357809,650,2.101055,8.17,4.999842e-05,26193,15974400,0.1694
2026-02-26T19:36:26.620830,700,2.096268,8.14,4.999718e-05,26299,17203200,0.1817
2026-02-26T19:37:10.895366,750,2.074793,7.96,4.999559e-05,26391,18432000,0.1940
2026-02-26T19:37:55.180310,800,2.054634,7.80,4.999364e-05,26472,19660800,0.2063
2026-02-26T19:38:40.383751,850,2.072329,7.94,4.999133e-05,26513,20889600,0.2189
2026-02-26T19:39:24.754021,900,2.056768,7.82,4.998867e-05,26576,22118400,0.2312
2026-02-26T19:40:09.140029,950,2.023756,7.57,4.998565e-05,26632,23347200,0.2435
2026-02-26T19:40:53.404055,1000,2.025675,7.58,4.998228e-05,26686,24576000,0.2558
2026-02-26T19:41:50.511629,1050,2.029411,7.61,4.997855e-05,26385,25804800,0.2717
2026-02-26T19:42:34.906490,1100,2.009787,7.46,4.997447e-05,26441,27033600,0.2840
2026-02-26T19:43:19.382404,1150,1.979796,7.24,4.997003e-05,26490,28262400,0.2964
2026-02-26T19:44:03.701501,1200,2.015736,7.51,4.996524e-05,26540,29491200,0.3087
2026-02-26T19:44:48.061950,1250,2.040155,7.69,4.996009e-05,26584,30720000,0.3210
2026-02-26T19:45:32.396503,1300,2.026699,7.59,4.995458e-05,26626,31948800,0.3333
2026-02-26T19:46:16.805476,1350,2.010474,7.47,4.994872e-05,26663,33177600,0.3456
2026-02-26T19:47:01.120633,1400,1.981646,7.25,4.994251e-05,26700,34406400,0.3580
2026-02-26T19:47:45.399789,1450,1.966405,7.14,4.993594e-05,26735,35635200,0.3703
2026-02-26T19:48:29.692911,1500,1.967007,7.15,4.992902e-05,26767,36864000,0.3826
2026-02-26T19:49:13.994403,1550,1.984569,7.28,4.992174e-05,26797,38092800,0.3949
2026-02-26T19:49:58.290244,1600,1.973708,7.20,4.991410e-05,26826,39321600,0.4072
2026-02-26T19:50:43.420261,1650,1.960430,7.10,4.990612e-05,26838,40550400,0.4197
