timestamp,step,recon_loss,token_acc,exact_match,acc_short,acc_med,acc_long,em_short,em_med,em_long,lr,elapsed_hours
2026-03-09T22:10:47.852233,500,6.485365,0.1423,0.0000,0.4012,0.2121,0.1105,0.0000,0.0000,0.0000,7.500000e-05,0.0129
2026-03-09T22:11:27.487169,1000,6.010663,0.1644,0.0000,0.3826,0.2194,0.1409,0.0000,0.0000,0.0000,1.500000e-04,0.0239
2026-03-09T22:12:06.397365,1500,5.807258,0.1715,0.0000,0.5154,0.2705,0.1155,0.0000,0.0000,0.0000,2.250000e-04,0.0347
2026-03-09T22:12:45.450945,2000,5.716196,0.1756,0.0000,0.5623,0.2928,0.1274,0.0000,0.0000,0.0000,3.000000e-04,0.0456
2026-03-09T22:13:24.281319,2500,5.587504,0.1858,0.0000,0.5746,0.2926,0.1398,0.0000,0.0000,0.0000,2.999995e-04,0.0564
2026-03-09T22:14:03.023149,3000,5.539910,0.1889,0.0063,0.5975,0.3075,0.1374,0.0312,0.0000,0.0000,2.999980e-04,0.0671
2026-03-09T22:14:42.125152,3500,5.475764,0.1892,0.0031,0.5948,0.3018,0.1341,0.0135,0.0000,0.0000,2.999955e-04,0.0780
2026-03-09T22:15:20.758936,4000,5.443852,0.1939,0.0000,0.5915,0.3193,0.1421,0.0000,0.0000,0.0000,2.999920e-04,0.0887
2026-03-09T22:15:59.875010,4500,5.399599,0.1945,0.0094,0.6088,0.3117,0.1338,0.0476,0.0000,0.0000,2.999875e-04,0.0996
2026-03-09T22:16:38.587740,5000,5.406064,0.1991,0.0063,0.6625,0.3006,0.1428,0.0312,0.0000,0.0000,2.999820e-04,0.1103
2026-03-09T22:17:18.841143,5500,5.342789,0.1946,0.0125,0.6700,0.3340,0.1317,0.0702,0.0000,0.0000,2.999755e-04,0.1215
2026-03-09T22:17:57.889038,6000,5.360653,0.2155,0.0094,0.6411,0.3381,0.1630,0.0462,0.0000,0.0000,2.999680e-04,0.1324
2026-03-09T22:18:36.862550,6500,5.255305,0.1882,0.0156,0.6616,0.3504,0.1338,0.0833,0.0000,0.0000,2.999595e-04,0.1432
2026-03-09T22:19:15.884006,7000,3.795240,0.4242,0.0781,0.8534,0.6902,0.3410,0.2923,0.0556,0.0000,2.999500e-04,0.1540
2026-03-09T22:19:54.879801,7500,2.988139,0.5127,0.1562,0.9020,0.8220,0.4293,0.5441,0.1226,0.0000,2.999395e-04,0.1649
2026-03-09T22:20:34.148685,8000,2.770021,0.5670,0.1750,0.9360,0.8975,0.4909,0.5556,0.2100,0.0000,2.999280e-04,0.1758
2026-03-09T22:21:13.032144,8500,2.519747,0.5941,0.2719,0.9517,0.9255,0.5114,0.6579,0.3571,0.0137,2.999155e-04,0.1866
2026-03-09T22:21:52.045501,9000,2.313085,0.6027,0.2969,0.9581,0.9469,0.5208,0.6667,0.4537,0.0137,2.999020e-04,0.1974
2026-03-09T22:22:30.972526,9500,2.304869,0.6562,0.3875,0.9768,0.9506,0.5707,0.8209,0.5556,0.0294,2.998875e-04,0.2082
2026-03-09T22:23:10.188939,10000,2.077169,0.6717,0.3969,0.9668,0.9697,0.5953,0.7397,0.6355,0.0357,2.998720e-04,0.2191
2026-03-09T22:23:51.116786,10500,1.862128,0.7195,0.4188,0.9882,0.9436,0.6431,0.9103,0.4907,0.0746,2.998555e-04,0.2305
2026-03-09T22:24:30.202780,11000,1.741759,0.7288,0.4188,0.9754,0.9774,0.6722,0.8387,0.6961,0.0705,2.998380e-04,0.2413
2026-03-09T22:25:09.177134,11500,1.728964,0.7449,0.4813,0.9685,0.9795,0.6853,0.7742,0.7568,0.1497,2.998195e-04,0.2522
2026-03-09T22:25:48.084628,12000,1.754659,0.7328,0.4844,0.9799,0.9792,0.6466,0.8919,0.7154,0.0081,2.998000e-04,0.2630
2026-03-09T22:26:27.613718,12500,1.648917,0.7936,0.5437,0.9894,0.9877,0.7436,0.9062,0.8519,0.1622,2.997795e-04,0.2740
2026-03-09T22:27:06.568309,13000,1.657040,0.8109,0.5687,0.9982,0.9915,0.7519,0.9846,0.8780,0.0758,2.997580e-04,0.2848
2026-03-09T22:27:45.539884,13500,1.603124,0.7843,0.5531,0.9978,0.9906,0.7268,0.9808,0.8595,0.1497,2.997355e-04,0.2956
2026-03-09T22:28:24.588968,14000,1.510369,0.8105,0.5750,0.9917,0.9897,0.7564,0.9286,0.8689,0.1831,2.997120e-04,0.3064
2026-03-09T22:29:03.774066,14500,1.458518,0.7869,0.5625,0.9857,0.9897,0.7284,0.8919,0.8318,0.1799,2.996875e-04,0.3173
2026-03-09T22:29:42.780660,15000,1.415885,0.8324,0.5875,0.9964,0.9902,0.7924,0.9688,0.8544,0.2484,2.996620e-04,0.3282
2026-03-09T22:30:23.464969,15500,1.315263,0.8097,0.5531,0.9940,0.9916,0.7627,0.9474,0.8692,0.1923,2.996355e-04,0.3395
2026-03-09T22:31:02.353182,16000,1.308788,0.8120,0.5844,0.9951,0.9914,0.7585,0.9571,0.8545,0.1857,2.996080e-04,0.3503
2026-03-09T22:31:41.622005,16500,1.219885,0.8446,0.6188,0.9940,0.9959,0.8031,0.9474,0.9469,0.2467,2.995796e-04,0.3612
2026-03-09T22:32:20.451463,17000,1.276035,0.8143,0.6375,0.9979,0.9946,0.7653,0.9815,0.9145,0.2953,2.995501e-04,0.3720
2026-03-09T22:32:59.380809,17500,1.187382,0.8393,0.6094,1.0000,0.9947,0.8051,1.0000,0.9216,0.2642,2.995196e-04,0.3828
2026-03-09T22:33:38.249041,18000,1.110024,0.8306,0.6594,0.9980,0.9959,0.7886,0.9825,0.9464,0.3245,2.994881e-04,0.3936
2026-03-09T22:34:17.139602,18500,1.193837,0.8457,0.6844,0.9982,0.9961,0.8070,0.9851,0.9412,0.3775,2.994556e-04,0.4044
