timestamp,step,recon_loss,token_acc,exact_match,acc_short,acc_med,acc_long,em_short,em_med,em_long,lr,elapsed_hours,analogy_avg,clustering_gap,direction_consistency,word_order_sim,effective_rank90,effective_rank95
2026-03-10T11:53:27.788855,500,6.322586,0.2020,0.0000,0.4771,0.2770,0.1708,0.0000,0.0000,0.0000,7.500000e-05,0.0386,0.9137,0.0577,0.1771,0.9947,6,9
2026-03-10T11:54:08.163204,1000,5.793129,0.1834,0.0000,0.5442,0.3073,0.1403,0.0000,0.0000,0.0000,1.500000e-04,0.0498,0.8309,0.1481,0.2190,0.9897,9,11
2026-03-10T11:54:48.473897,1500,5.621728,0.1906,0.0000,0.6293,0.3016,0.1397,0.0000,0.0000,0.0000,2.250000e-04,0.0610,0.6962,0.0875,0.3491,0.9867,8,11
2026-03-10T11:55:27.642507,2000,5.487371,0.2012,0.0063,0.6048,0.3135,0.1354,0.0260,0.0000,0.0000,3.000000e-04,0.0719,0.7456,0.0618,0.3061,0.9844,9,11
2026-03-10T11:56:07.043309,2500,5.388336,0.1979,0.0063,0.6466,0.3253,0.1404,0.0299,0.0000,0.0000,2.999995e-04,0.0829,0.6742,0.0846,0.3243,0.9731,9,11
2026-03-10T11:56:46.456923,3000,5.302014,0.2066,0.0063,0.6351,0.3506,0.1524,0.0270,0.0000,0.0000,2.999980e-04,0.0938,0.7559,0.1773,0.2958,0.9692,9,12
2026-03-10T11:57:25.830813,3500,4.993519,0.2571,0.0344,0.7197,0.4435,0.1935,0.1507,0.0000,0.0000,2.999955e-04,0.1047,0.7849,0.1079,0.3845,0.9718,10,13
2026-03-10T11:58:05.252056,4000,3.209735,0.4931,0.0844,0.8583,0.7884,0.4118,0.2982,0.0847,0.0000,2.999920e-04,0.1157,0.7688,0.0388,0.1403,0.8625,16,20
2026-03-10T11:58:45.084449,4500,2.626111,0.5681,0.1250,0.8893,0.8377,0.5051,0.4194,0.1373,0.0000,2.999875e-04,0.1268,0.8512,0.0423,0.1716,0.9273,15,20
2026-03-10T11:59:24.876764,5000,2.284019,0.6228,0.1938,0.9244,0.9069,0.5484,0.5254,0.2650,0.0000,2.999820e-04,0.1378,0.8835,0.0309,0.1600,0.9343,16,20
2026-03-10T12:00:05.753777,5500,2.011731,0.6764,0.2656,0.9376,0.9334,0.6036,0.6038,0.4333,0.0068,2.999755e-04,0.1492,0.8670,0.0347,0.2059,0.9333,15,19
2026-03-10T12:00:45.417330,6000,1.870182,0.7140,0.3563,0.9653,0.9608,0.6529,0.7206,0.6019,0.0201,2.999680e-04,0.1602,0.8813,0.0413,0.1660,0.8964,15,19
2026-03-10T12:01:25.418372,6500,1.777212,0.7313,0.4031,0.9688,0.9639,0.6659,0.7288,0.7069,0.0276,2.999595e-04,0.1713,0.9348,0.0231,0.1965,0.9584,17,21
2026-03-10T12:02:05.717092,7000,1.676847,0.7476,0.3906,0.9683,0.9682,0.6983,0.7973,0.5714,0.0903,2.999500e-04,0.1825,0.9216,0.0268,0.2295,0.9787,16,21
2026-03-10T12:02:46.302230,7500,1.437339,0.7599,0.4656,0.9868,0.9733,0.7005,0.9000,0.6842,0.1164,2.999395e-04,0.1938,0.8410,0.0660,0.1853,0.9064,18,22
2026-03-10T12:03:26.416921,8000,1.408009,0.7761,0.5344,0.9839,0.9847,0.7154,0.8636,0.7895,0.1714,2.999280e-04,0.2049,0.9308,0.0498,0.1995,0.9694,16,20
2026-03-10T12:04:06.848239,8500,1.324680,0.8085,0.5281,0.9819,0.9857,0.7609,0.8421,0.8103,0.1837,2.999155e-04,0.2161,0.9400,0.0633,0.1991,0.9682,16,20
2026-03-10T12:04:47.425031,9000,1.263735,0.8178,0.5312,0.9766,0.9858,0.7805,0.8333,0.8200,0.2590,2.999020e-04,0.2274,0.9442,0.0478,0.2240,0.9599,16,20
2026-03-10T12:05:26.947008,9500,1.205413,0.8070,0.5906,0.9927,0.9889,0.7590,0.9375,0.8584,0.2238,2.998875e-04,0.2384,0.9491,0.0472,0.1823,0.9672,17,21
2026-03-10T12:06:06.528242,10000,1.170808,0.8478,0.6687,0.9922,0.9936,0.7944,0.9310,0.9000,0.2787,2.998720e-04,0.2494,0.9359,0.0458,0.1972,0.9711,16,20
2026-03-10T12:06:48.143991,10500,1.160358,0.8069,0.6250,0.9944,0.9905,0.7616,0.9524,0.8739,0.2945,2.998555e-04,0.2609,0.9573,0.0205,0.2739,0.9869,17,21
2026-03-10T12:07:27.975356,11000,1.079380,0.8338,0.5969,0.9813,0.9859,0.7885,0.8611,0.8624,0.2518,2.998380e-04,0.2720,0.9512,0.0301,0.2678,0.9778,17,21
2026-03-10T12:08:08.186754,11500,0.985341,0.8263,0.6156,0.9808,0.9946,0.7880,0.8689,0.9245,0.3007,2.998195e-04,0.2832,0.9219,0.0403,0.2291,0.9683,16,20
2026-03-10T12:08:47.841875,12000,1.009995,0.8568,0.6781,0.9961,0.9900,0.8157,0.9828,0.8770,0.3786,2.998000e-04,0.2942,0.9639,0.0154,0.3161,0.9899,16,20
2026-03-10T12:09:27.437699,12500,0.932874,0.8329,0.6219,0.9977,0.9896,0.7979,0.9808,0.8393,0.3462,2.997795e-04,0.3052,0.9395,0.0183,0.2131,0.9881,16,20
2026-03-10T12:10:06.953352,13000,0.898668,0.8525,0.6687,0.9938,0.9962,0.8111,0.9464,0.9360,0.3165,2.997580e-04,0.3162,0.9376,0.0254,0.2974,0.9906,16,20
2026-03-10T12:10:46.466010,13500,0.963708,0.8682,0.7281,0.9961,0.9995,0.8341,0.9655,0.9911,0.4400,2.997355e-04,0.3271,0.9300,0.0266,0.2165,0.9887,17,21
2026-03-10T12:11:26.017166,14000,0.844501,0.8471,0.6781,0.9964,0.9937,0.8066,0.9688,0.9107,0.3681,2.997120e-04,0.3381,0.9382,0.0353,0.2521,0.9628,16,20
2026-03-10T12:12:05.590178,14500,0.812535,0.8709,0.7219,0.9969,0.9994,0.8382,0.9730,0.9900,0.4110,2.996875e-04,0.3491,0.9376,0.0380,0.2547,0.9586,16,20
2026-03-10T12:12:45.206979,15000,0.792938,0.8888,0.7469,0.9981,0.9964,0.8592,0.9836,0.9474,0.4897,2.996620e-04,0.3601,0.9701,0.0128,0.1675,0.9835,15,20
2026-03-10T12:13:27.135683,15500,0.768410,0.8699,0.7094,0.9984,0.9979,0.8341,0.9859,0.9626,0.3803,2.996355e-04,0.3718,0.9669,0.0188,0.2314,0.9846,16,20
2026-03-10T12:14:07.538456,16000,0.751962,0.8803,0.6875,0.9981,0.9932,0.8542,0.9836,0.9109,0.4304,2.996080e-04,0.3830,0.9462,0.0699,0.1849,0.9844,15,20
2026-03-10T12:14:47.400155,16500,0.740727,0.8994,0.7531,0.9950,0.9980,0.8703,0.9565,0.9643,0.4820,2.995796e-04,0.3941,0.9514,0.0594,0.2527,0.9872,15,19
2026-03-10T12:15:27.105636,17000,0.780603,0.8805,0.7125,0.9952,0.9970,0.8540,0.9583,0.9479,0.4474,2.995501e-04,0.4051,0.9536,0.0499,0.2833,0.9919,15,19
2026-03-10T12:16:06.818121,17500,0.721710,0.9164,0.7500,0.9922,0.9956,0.8922,0.9355,0.9250,0.5145,2.995196e-04,0.4161,0.9658,0.0253,0.2476,0.9939,14,18
2026-03-10T12:16:46.464681,18000,0.700407,0.9020,0.7031,0.9653,0.9915,0.8813,0.6885,0.9252,0.5526,2.994881e-04,0.4271,0.9598,0.0264,0.2061,0.9871,14,19
2026-03-10T12:17:26.160726,18500,0.663893,0.9110,0.7438,1.0000,0.9982,0.8805,1.0000,0.9680,0.3953,2.994556e-04,0.4382,0.9402,0.0227,0.3080,0.9886,16,20
2026-03-10T12:18:06.267290,19000,0.666569,0.8972,0.7469,0.9965,0.9973,0.8717,0.9697,0.9811,0.4797,2.994222e-04,0.4493,0.9433,0.0317,0.3378,0.9890,15,20
2026-03-10T12:18:45.850605,19500,0.641999,0.9052,0.7438,1.0000,0.9959,0.8806,1.0000,0.9537,0.4615,2.993877e-04,0.4603,0.9404,0.0661,0.2630,0.9850,14,19
2026-03-10T12:19:25.597774,20000,0.627101,0.9275,0.7969,1.0000,0.9994,0.9088,1.0000,0.9902,0.5556,2.993522e-04,0.4713,0.9182,0.0459,0.2267,0.9582,18,22
2026-03-10T12:20:07.358888,20500,0.606605,0.9052,0.7406,0.9984,0.9989,0.8807,0.9859,0.9818,0.4245,2.993158e-04,0.4829,0.9006,0.0477,0.1177,0.9498,17,21
2026-03-10T12:20:47.250805,21000,0.607592,0.8969,0.7969,1.0000,0.9974,0.8729,1.0000,0.9633,0.6065,2.992783e-04,0.4940,0.9406,0.0225,0.3132,0.9880,16,20
2026-03-10T12:21:27.124036,21500,0.553976,0.9016,0.7375,1.0000,0.9950,0.8782,1.0000,0.9217,0.4792,2.992399e-04,0.5051,0.9487,0.0312,0.2492,0.9876,15,19
2026-03-10T12:22:06.850781,22000,0.543804,0.9098,0.7625,0.9961,0.9994,0.8897,0.9667,0.9907,0.5197,2.992004e-04,0.5161,0.9616,0.0212,0.3210,0.9911,15,19
2026-03-10T12:22:46.943576,22500,0.550731,0.9293,0.8250,0.9983,0.9989,0.9106,0.9851,0.9815,0.6345,2.991600e-04,0.5273,0.9415,0.0295,0.2955,0.9886,15,19
2026-03-10T12:23:26.688707,23000,0.520070,0.9311,0.7844,1.0000,0.9981,0.9121,1.0000,0.9677,0.5455,2.991186e-04,0.5383,0.9173,0.0299,0.3121,0.9852,15,19
2026-03-10T12:24:06.533431,23500,0.515148,0.9333,0.8000,0.9966,1.0000,0.9174,0.9710,1.0000,0.5839,2.990761e-04,0.5494,0.9566,0.0340,0.3689,0.9891,14,18
2026-03-10T12:24:46.375716,24000,0.526292,0.9163,0.7594,1.0000,0.9994,0.8978,1.0000,0.9903,0.5250,2.990327e-04,0.5604,0.9434,0.0158,0.1899,0.9685,16,20
2026-03-10T12:25:26.044058,24500,0.519780,0.9309,0.8094,1.0000,0.9990,0.9122,1.0000,0.9825,0.5931,2.989883e-04,0.5715,0.9361,0.1039,0.2356,0.9817,14,19
2026-03-10T12:26:05.721352,25000,0.486574,0.9185,0.7719,1.0000,0.9989,0.9000,1.0000,0.9813,0.5235,2.989429e-04,0.5825,0.9181,0.1213,0.1792,0.9643,15,20
2026-03-10T12:26:47.489112,25500,0.498035,0.9066,0.7937,1.0000,0.9989,0.8850,1.0000,0.9802,0.5733,2.988965e-04,0.5941,0.9334,0.0453,0.2525,0.9820,15,19
2026-03-10T12:27:27.408661,26000,0.462359,0.9358,0.7969,1.0000,0.9995,0.9181,1.0000,0.9909,0.5556,2.988491e-04,0.6052,0.9494,0.0237,0.2560,0.9918,15,19
2026-03-10T12:28:07.756884,26500,0.467856,0.9339,0.8438,1.0000,0.9967,0.9127,1.0000,0.9462,0.6614,2.988007e-04,0.6164,0.9451,0.0414,0.3225,0.9851,16,21
2026-03-10T12:28:47.607274,27000,0.453074,0.9283,0.7875,0.9982,0.9980,0.9101,0.9839,0.9735,0.5586,2.987513e-04,0.6275,0.9378,0.0184,0.2360,0.9579,17,21
2026-03-10T12:29:27.392912,27500,0.438995,0.9198,0.8063,1.0000,0.9978,0.9000,1.0000,0.9706,0.6067,2.987009e-04,0.6385,0.9194,0.0442,0.3543,0.9832,14,19
2026-03-10T12:30:07.071405,28000,0.446274,0.9511,0.8469,1.0000,0.9995,0.9363,1.0000,0.9919,0.6364,2.986496e-04,0.6495,0.9450,0.0314,0.2636,0.9889,15,19
2026-03-10T12:30:46.812126,28500,0.410134,0.9491,0.8562,1.0000,0.9995,0.9339,1.0000,0.9911,0.6617,2.985972e-04,0.6606,0.9477,0.0442,0.2577,0.9799,16,21
2026-03-10T12:31:26.492990,29000,0.436733,0.9187,0.6094,0.9819,0.9015,0.9194,0.8644,0.4667,0.6241,2.985439e-04,0.6716,0.9499,0.0432,0.2814,0.9835,14,18
2026-03-10T12:32:06.187710,29500,0.346971,0.9301,0.8187,1.0000,0.9994,0.9146,1.0000,0.9896,0.6323,2.984895e-04,0.6826,0.9163,0.1122,0.2438,0.9433,15,20
2026-03-10T12:32:46.271235,30000,0.399530,0.9572,0.8500,1.0000,1.0000,0.9452,1.0000,1.0000,0.6779,2.984342e-04,0.6937,0.9488,0.0582,0.2221,0.9744,15,20
2026-03-10T12:33:28.217469,30500,0.378777,0.9435,0.8094,0.9981,1.0000,0.9290,0.9833,1.0000,0.6000,2.983779e-04,0.7054,0.9391,0.0312,0.2476,0.9847,16,20
2026-03-10T12:34:08.172772,31000,0.396928,0.9439,0.8469,1.0000,0.9990,0.9288,1.0000,0.9821,0.6803,2.983206e-04,0.7165,0.9617,0.0251,0.2308,0.9754,16,20
2026-03-10T12:34:48.330429,31500,0.396403,0.9467,0.8344,0.9980,1.0000,0.9326,0.9833,1.0000,0.6463,2.982623e-04,0.7277,0.9198,0.0924,0.2743,0.9749,15,20
2026-03-10T12:35:28.059397,32000,0.411638,0.9438,0.8469,1.0000,0.9995,0.9260,1.0000,0.9923,0.6336,2.982030e-04,0.7387,0.9480,0.1140,0.2243,0.9777,16,20
2026-03-10T12:36:07.777708,32500,0.364992,0.9632,0.8906,0.9986,0.9994,0.9513,0.9877,0.9907,0.7481,2.981427e-04,0.7497,0.9454,0.0312,0.2450,0.9827,14,19
2026-03-10T12:36:47.374189,33000,0.346646,0.9522,0.8313,1.0000,0.9995,0.9396,1.0000,0.9917,0.6467,2.980815e-04,0.7607,0.9329,0.0379,0.2489,0.9839,16,21
2026-03-10T12:37:27.065685,33500,0.357880,0.9438,0.8375,0.9962,0.9990,0.9291,0.9683,0.9818,0.6735,2.980192e-04,0.7717,0.9535,0.0395,0.2602,0.9861,16,20
2026-03-10T12:38:07.183817,34000,0.480243,0.9663,0.8375,0.9981,0.9995,0.9567,0.9831,0.9914,0.6552,2.979560e-04,0.7829,0.9594,0.0724,0.2541,0.9686,13,17
2026-03-10T12:38:46.864395,34500,0.352579,0.9363,0.6594,0.9903,0.9008,0.9407,0.9167,0.4857,0.6774,2.978918e-04,0.7939,0.9039,0.0101,0.2422,0.9420,13,18
2026-03-10T12:39:26.587601,35000,0.283273,0.9385,0.8156,0.9964,0.9995,0.9188,0.9697,0.9918,0.5758,2.978266e-04,0.8049,0.9237,0.0622,0.2407,0.9223,15,19
2026-03-10T12:40:08.409900,35500,0.352913,0.9537,0.8250,1.0000,0.9990,0.9410,1.0000,0.9828,0.6115,2.977604e-04,0.8166,0.9093,0.0694,0.3024,0.9442,17,21
2026-03-10T12:40:48.925981,36000,0.329518,0.9586,0.8000,0.9958,0.9934,0.9486,0.9636,0.9412,0.6233,2.976932e-04,0.8278,0.9053,0.1084,0.1682,0.9299,16,20
2026-03-10T12:41:29.601015,36500,0.307406,0.9538,0.8844,1.0000,0.9995,0.9377,1.0000,0.9917,0.7120,2.976250e-04,0.8391,0.9280,0.0950,0.2840,0.9559,18,22
2026-03-10T12:42:10.365571,37000,0.337670,0.9461,0.8344,1.0000,0.9995,0.9288,1.0000,0.9915,0.5938,2.975559e-04,0.8504,0.9094,0.0241,0.2630,0.9703,18,22
2026-03-10T12:42:51.425127,37500,0.323884,0.9591,0.8688,1.0000,1.0000,0.9471,1.0000,1.0000,0.7000,2.974857e-04,0.8618,0.8987,0.0355,0.3068,0.9735,18,22
2026-03-10T12:48:36.209962,38000,0.271311,0.9461,0.8313,1.0000,1.0000,0.9332,1.0000,1.0000,0.6447,2.974146e-04,0.0065,0.8971,0.0256,0.2271,0.9570,27,36
2026-03-10T12:49:16.306546,38500,0.296486,0.9494,0.8219,1.0000,1.0000,0.9377,1.0000,1.0000,0.6299,2.973425e-04,0.0176,0.8913,0.0258,0.2425,0.9610,27,36
2026-03-10T12:49:56.503820,39000,0.344925,0.9628,0.8750,1.0000,0.9995,0.9528,1.0000,0.9905,0.7310,2.972695e-04,0.0288,0.9400,0.0144,0.2330,0.9865,24,33
2026-03-10T12:50:37.604192,39500,0.267854,0.9537,0.7937,1.0000,0.9972,0.9400,1.0000,0.9528,0.5489,2.971954e-04,0.0402,0.9466,0.0140,0.2417,0.9846,26,35
2026-03-10T12:51:19.023935,40000,0.297357,0.9653,0.8375,1.0000,1.0000,0.9566,1.0000,1.0000,0.6533,2.971204e-04,0.0517,0.9166,0.0161,0.2605,0.9665,29,38
