timestamp,step,recon_loss,token_acc,exact_match,em_ema,lr,elapsed_hours,analogy_avg,clustering_gap,direction_consistency,word_order_sim,effective_rank90,effective_rank95,fr_loss,fr_token_acc,es_loss,es_token_acc,para_loss,para_token_acc,parse_loss,parse_token_acc,geo_scale,wo_loss,hrepul_loss,brepul_loss,analogy_loss,dircon_loss,cluster_loss
2026-03-11T16:18:41.255941,500,6.518311,0.2532,0.0000,0.0000,5.000000e-05,0.0146,0.9666,0.0411,0.3687,0.9998,5,6,8.924469,0.1628,8.695091,0.1667,8.148805,0.0000,6.684804,0.5075,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:19:31.154004,1000,5.870042,0.2722,0.0000,0.0000,1.000000e-04,0.0285,0.8661,0.1037,0.4103,0.9959,7,8,6.951403,0.3023,6.681081,0.3056,5.553666,0.0000,3.605858,0.6269,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:20:20.547776,1500,5.564971,0.2911,0.0000,0.0000,1.500000e-04,0.0422,0.7247,0.0737,0.3812,0.9480,8,9,6.680759,0.3721,6.504234,0.3889,5.041088,0.0000,3.082203,0.7015,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:21:09.837979,2000,5.700632,0.2848,0.0000,0.0000,2.000000e-04,0.0559,0.7515,0.0727,0.3524,0.8966,8,10,6.608261,0.3721,6.386021,0.4167,5.010522,0.0000,2.962688,0.7015,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:21:58.534194,2500,5.322052,0.2911,0.0000,0.0000,1.999997e-04,0.0694,0.7496,0.0897,0.3083,0.9152,9,10,6.561798,0.3953,6.316003,0.4167,4.906618,0.0000,2.801345,0.7313,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:22:47.077259,3000,5.224586,0.3101,0.0000,0.0000,1.999987e-04,0.0829,0.6830,0.1415,0.3383,0.8595,14,20,6.531671,0.3953,6.270418,0.4167,4.817322,0.0000,2.754588,0.7313,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:23:35.166117,3500,4.956181,0.3228,0.0000,0.0000,1.999971e-04,0.0963,0.7166,0.1258,0.3366,0.8965,20,28,6.401980,0.3953,6.162453,0.3889,4.771337,0.0000,2.729294,0.7463,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:24:23.393963,4000,3.628789,0.4747,0.0000,0.0000,1.999948e-04,0.1097,0.7070,0.0620,0.2327,0.9231,37,45,6.369406,0.4186,6.079691,0.3889,4.729844,0.0000,2.572240,0.7463,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:25:11.465965,4500,2.609823,0.5570,0.0000,0.0000,1.999918e-04,0.1230,0.6922,0.0407,0.2604,0.8931,37,45,6.305052,0.3953,6.063026,0.3889,4.625752,0.0000,2.549858,0.7612,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:25:59.712524,5000,2.451725,0.6646,0.0000,0.0000,1.999882e-04,0.1364,0.6999,0.0586,0.2855,0.9250,36,44,6.320585,0.4651,6.009273,0.3889,4.563533,0.0000,2.492252,0.7164,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:26:51.746947,5500,2.127983,0.7532,0.0769,0.0008,1.999840e-04,0.1509,0.6821,0.0494,0.2485,0.8963,39,47,6.296751,0.4884,5.985824,0.4167,4.573094,0.0000,2.359294,0.7612,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:27:40.125389,6000,1.849155,0.7975,0.2308,0.0031,1.999790e-04,0.1643,0.7267,0.0349,0.2509,0.9013,39,47,6.277322,0.4186,5.948015,0.4444,4.488241,0.0000,2.358365,0.7910,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:28:28.891115,6500,1.673369,0.8228,0.1538,0.0046,1.999735e-04,0.1779,0.7533,0.0310,0.2795,0.8913,39,46,6.240529,0.4419,5.986729,0.4167,4.537506,0.0000,2.272465,0.7910,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:29:17.573656,7000,1.352165,0.8101,0.2308,0.0068,1.999672e-04,0.1914,0.5968,0.0438,0.1856,0.8930,40,47,6.239339,0.4651,5.913811,0.4444,4.464005,0.0000,2.209148,0.7761,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:30:06.119597,7500,1.450135,0.8291,0.3846,0.0106,1.999604e-04,0.2049,0.7894,0.0440,0.2778,0.8877,38,45,6.207481,0.4186,5.913621,0.4167,4.445805,0.0000,2.268671,0.7612,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:30:54.189332,8000,1.241633,0.8481,0.3846,0.0144,1.999528e-04,0.2182,0.7751,0.0491,0.2845,0.8752,37,45,6.203886,0.4651,5.886853,0.4444,4.339096,0.0000,2.117075,0.7164,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:31:42.548651,8500,1.214207,0.8165,0.2308,0.0165,1.999446e-04,0.2317,0.7170,0.0471,0.3205,0.8736,37,45,6.211220,0.4419,5.887391,0.4444,4.432527,0.0000,2.061131,0.8209,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:32:31.100090,9000,1.190637,0.8671,0.5385,0.0217,1.999358e-04,0.2452,0.6932,0.0440,0.2601,0.8795,38,45,6.151248,0.4186,5.840331,0.4722,4.402272,0.0000,2.041820,0.8358,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:33:19.646298,9500,1.087004,0.8861,0.6923,0.0284,1.999263e-04,0.2586,0.7371,0.0470,0.2870,0.8670,36,44,6.131819,0.4651,5.831540,0.4444,4.446089,0.0000,2.054453,0.8657,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:34:08.112302,10000,1.064044,0.9114,0.6923,0.0351,1.999161e-04,0.2721,0.6768,0.0413,0.2558,0.8608,38,46,6.071869,0.4419,5.849424,0.4167,4.327520,0.0000,1.892886,0.8358,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:35:02.332654,10500,1.066097,0.8861,0.5385,0.0401,1.999053e-04,0.2872,0.7040,0.0419,0.2515,0.8626,38,45,6.085745,0.4419,5.795904,0.4167,4.378146,0.0000,1.852163,0.8507,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:35:51.024290,11000,1.054452,0.8608,0.6154,0.0459,1.998939e-04,0.3007,0.7141,0.0461,0.2552,0.8672,38,45,6.132131,0.4186,5.777562,0.5000,4.315944,0.0000,1.796839,0.8806,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:36:39.146665,11500,0.896553,0.8987,0.6154,0.0516,1.998817e-04,0.3141,0.7215,0.0389,0.2589,0.8686,38,45,6.095386,0.4186,5.738860,0.5556,4.256601,0.0000,1.787720,0.8507,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:37:27.179091,12000,0.955290,0.9177,0.6923,0.0580,1.998690e-04,0.3274,0.7674,0.0332,0.2739,0.8779,38,45,6.074591,0.4419,5.758164,0.5556,4.214557,0.0000,1.766919,0.8657,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:38:15.155032,12500,0.814767,0.9051,0.6923,0.0643,1.998555e-04,0.3407,0.7363,0.0341,0.2864,0.8838,38,46,6.031494,0.4186,5.684931,0.4722,4.262929,0.0000,1.707541,0.9254,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:39:03.242680,13000,0.982979,0.9114,0.6923,0.0706,1.998414e-04,0.3541,0.7651,0.0331,0.2678,0.8830,38,46,6.008727,0.4186,5.711873,0.5278,4.194230,0.0000,1.707228,0.8806,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:39:51.922720,13500,0.866975,0.9241,0.6923,0.0768,1.998267e-04,0.3676,0.7506,0.0345,0.2650,0.8724,38,45,6.038661,0.4651,5.701380,0.4722,4.151328,0.0000,1.670271,0.9254,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:40:40.170101,14000,0.784310,0.8924,0.6923,0.0830,1.998113e-04,0.3810,0.7683,0.0301,0.2682,0.8813,38,45,5.997050,0.4884,5.632530,0.5278,4.196249,0.0000,1.585684,0.9104,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:41:28.258280,14500,0.777966,0.8987,0.7692,0.0898,1.997953e-04,0.3944,0.7296,0.0312,0.2778,0.8691,38,46,6.003221,0.4419,5.671866,0.5278,4.182805,0.0000,1.644928,0.8955,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-11T16:42:16.437088,15000,0.781224,0.9114,0.6923,0.0959,1.997786e-04,0.4077,0.7843,0.0324,0.2725,0.8724,38,45,5.969547,0.5116,5.634247,0.5278,4.186082,0.0000,1.603184,0.8955,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
