step,recon_loss,pred_loss,total_loss,lr
50,10.330359,10.328837,15.494017,0.000007
100,10.197204,10.191947,15.290549,0.000015
150,9.782976,9.776555,14.668043,0.000022
200,9.231917,9.228899,13.844858,0.000030
250,8.674189,8.670950,13.008045,0.000037
300,8.106299,8.102834,12.155984,0.000045
350,7.524762,7.521368,11.283749,0.000052
400,6.946278,6.940411,10.413550,0.000060
450,6.603546,6.601746,9.903519,0.000067
500,6.643432,6.645985,9.967701,0.000075
550,6.549762,6.552530,9.827411,0.000082
600,6.201571,6.204154,9.304940,0.000090
650,5.972808,5.946609,8.933014,0.000097
700,5.976806,5.949763,8.938166,0.000105
750,5.972605,6.016242,9.002545,0.000112
800,6.003010,6.055605,9.057110,0.000120
850,5.959943,5.979713,8.959684,0.000128
900,5.995400,6.030273,9.027973,0.000135
950,5.767741,5.790620,8.674490,0.000142
1000,5.774757,5.784401,8.671779,0.000150
1050,6.057107,6.091150,9.119703,0.000157
1100,5.775371,5.805369,8.693055,0.000165
1150,5.696982,5.709003,8.557494,0.000172
1200,5.776569,5.789740,8.678025,0.000180
1250,5.735306,5.727333,8.594986,0.000187
1300,5.779981,5.801997,8.691987,0.000195
1350,6.128587,6.169178,9.233472,0.000202
1400,6.234025,6.236974,9.353986,0.000210
1450,6.111215,6.107751,9.163358,0.000217
1500,6.016670,6.014835,9.023170,0.000225
1550,5.932176,5.932583,8.898671,0.000232
1600,5.547813,5.554646,8.328552,0.000240
1650,5.011426,5.033567,7.539280,0.000247
1700,5.053721,5.076617,7.603477,0.000255
1750,5.520947,5.530310,8.290783,0.000262
1800,6.034293,6.033905,9.051051,0.000270
1850,6.119308,6.120321,9.179975,0.000277
1900,5.931752,5.936669,8.902545,0.000285
1950,6.101005,6.062167,9.112669,0.000293
2000,6.054239,6.018436,9.045556,0.000300
2050,5.934443,5.944970,8.912191,0.000300
2100,6.119803,6.127970,9.187872,0.000300
2150,5.865541,5.862442,8.795213,0.000300
2200,5.852302,5.857742,8.783892,0.000300
2250,6.032707,6.044895,9.061248,0.000300
2300,5.881868,5.884704,8.825637,0.000300
2350,5.904962,5.910685,8.863166,0.000300
2400,6.047798,6.048410,9.072309,0.000300
2450,6.019951,6.020319,9.030295,0.000300
2500,5.979847,5.980729,8.970653,0.000300
2550,6.002719,5.958653,8.960012,0.000300
2600,5.823120,5.783377,8.694937,0.000300
2650,5.547614,5.556242,8.330048,0.000300
2700,5.671127,5.681431,8.516994,0.000300
2750,6.076249,6.083390,9.121514,0.000300
2800,6.275099,6.281231,9.418780,0.000300
2850,6.261358,6.267524,9.398203,0.000300
2900,6.080589,6.089949,9.130243,0.000300
2950,5.950487,5.957967,8.933210,0.000300
3000,6.091570,6.097860,9.143645,0.000300
3050,6.147668,6.151541,9.225375,0.000300
3100,5.845244,5.849602,8.772224,0.000300
3150,5.586986,5.596274,8.389767,0.000300
3200,5.713070,5.725812,8.582347,0.000300
3250,5.828416,5.844786,8.758995,0.000300
3300,5.587839,5.599658,8.393577,0.000300
3350,4.595177,4.608181,6.905770,0.000300
3400,3.609801,3.630391,5.435291,0.000300
3450,3.378399,3.409935,5.099134,0.000300
3500,3.271025,3.312626,4.948138,0.000300
3550,3.169294,3.209444,4.794091,0.000300
3600,3.147436,3.165165,4.738883,0.000300
3650,3.174935,3.195189,4.782656,0.000300
3700,3.077821,3.133153,4.672064,0.000300
3750,2.967212,3.046769,4.530375,0.000300
3800,2.928402,3.030482,4.494683,0.000300
3850,2.884871,2.996884,4.439320,0.000300
3900,4.476259,4.539496,6.777625,0.000300
3950,6.041556,6.053301,9.074079,0.000300
4000,6.115916,6.124320,9.182278,0.000300
4050,5.856914,5.879038,8.807496,0.000300
4100,5.464760,5.489595,8.221974,0.000300
4150,5.444283,5.460704,8.182845,0.000300
4200,5.876421,5.892227,8.830438,0.000300
4250,6.368342,6.381768,9.565939,0.000300
4300,6.291806,6.305986,9.451889,0.000300
4350,5.799501,5.813334,8.713085,0.000300
4400,5.702534,5.712424,8.563691,0.000300
4450,5.965254,5.982570,8.965198,0.000300
4500,5.932263,5.953654,8.919786,0.000300
4550,5.877611,5.893007,8.831813,0.000300
4600,5.922127,5.938934,8.899998,0.000300
4650,5.985237,6.006781,8.999399,0.000300
4700,5.855283,5.875012,8.802654,0.000300
4750,5.599046,5.615343,8.414866,0.000300
4800,5.557003,5.556944,8.335445,0.000300
4850,5.751950,5.746385,8.622360,0.000300
4900,5.825853,5.836291,8.749217,0.000300
4950,5.683883,5.701830,8.543772,0.000300
5000,5.499669,5.520891,8.270726,0.000300
5050,5.325846,5.348803,8.011727,0.000300
5100,5.579422,5.598303,8.388014,0.000300
5150,5.985863,6.000148,8.993080,0.000300
5200,5.940544,5.956247,8.926519,0.000300
5250,5.772847,5.792215,8.678639,0.000300
5300,5.727830,5.746530,8.610445,0.000300
5350,5.905658,5.925494,8.878323,0.000300
5400,5.852087,5.870591,8.796635,0.000300
5450,5.873160,5.901210,8.837790,0.000300
5500,6.013658,6.045979,9.052808,0.000300
5550,5.823412,5.846250,8.757956,0.000300
5600,5.688125,5.715402,8.559465,0.000300
5650,5.678870,5.709239,8.548674,0.000300
5700,5.310943,5.347664,8.003136,0.000300
5750,5.127057,5.162993,7.726522,0.000300
5800,5.263271,5.293049,7.924684,0.000300
5850,5.383060,5.408538,8.100068,0.000300
5900,5.706615,5.728809,8.582117,0.000300
5950,5.892020,5.921417,8.867427,0.000300
6000,5.721575,5.753317,8.614104,0.000300
6050,5.426875,5.453662,8.167100,0.000300
6100,5.590042,5.614532,8.409553,0.000300
6150,5.925052,5.951424,8.913951,0.000300
6200,5.808830,5.845793,8.750208,0.000300
6250,5.458189,5.507693,8.236788,0.000300
6300,5.449496,5.504484,8.229232,0.000300
6350,5.637660,5.679069,8.497899,0.000300
6400,5.682178,5.709504,8.550593,0.000300
6450,5.755504,5.783128,8.660880,0.000300
6500,5.689382,5.714797,8.559488,0.000300
6550,5.546367,5.564771,8.337955,0.000300
6600,5.739008,5.744886,8.614390,0.000300
6650,5.680490,5.688301,8.528546,0.000300
6700,5.551638,5.571710,8.347528,0.000300
6750,5.760746,5.783693,8.664065,0.000300
6800,5.765925,5.790890,8.673853,0.000300
6850,5.876245,5.902791,8.840914,0.000300
6900,5.854700,5.879288,8.806638,0.000300
6950,5.796594,5.823755,8.722052,0.000300
7000,5.810082,5.839111,8.744153,0.000300
7050,5.563419,5.587299,8.369009,0.000300
7100,5.595288,5.613764,8.411408,0.000300
7150,5.935243,5.949406,8.917028,0.000300
7200,6.092437,6.096624,9.142843,0.000300
7250,5.797550,5.805714,8.704489,0.000300
7300,5.536548,5.566015,8.334289,0.000300
7350,5.709410,5.744951,8.599656,0.000300
7400,5.707799,5.740329,8.594228,0.000300
7450,5.627818,5.664303,8.478212,0.000300
7500,5.800473,5.828867,8.729104,0.000300
7550,5.655299,5.680402,8.508051,0.000300
7600,5.449046,5.482460,8.206983,0.000300
7650,5.537161,5.567896,8.336477,0.000300
7700,5.643581,5.669956,8.491746,0.000300
7750,5.707825,5.729185,8.583097,0.000300
7800,5.692511,5.703969,8.550224,0.000300
7850,5.854241,5.870838,8.797959,0.000300
7900,5.978412,6.004917,8.994123,0.000300
7950,5.757843,5.787735,8.666657,0.000300
8000,5.484468,5.511220,8.253454,0.000300
8050,5.682732,5.705509,8.546876,0.000300
8100,5.942952,5.972577,8.944053,0.000300
8150,5.702958,5.724537,8.576016,0.000300
8200,5.498731,5.518070,8.267435,0.000300
8250,5.498332,5.528939,8.278105,0.000300
8300,5.303987,5.339540,7.991533,0.000300
8350,5.009189,5.048466,7.553061,0.000300
8400,5.365843,5.398055,8.080976,0.000300
8450,5.820308,5.837979,8.748133,0.000300
8500,5.760219,5.779485,8.659594,0.000300
8550,5.426695,5.459445,8.172793,0.000300
8600,5.258380,5.308977,7.938167,0.000300
8650,5.696353,5.742058,8.590234,0.000300
8700,5.924664,5.955807,8.918139,0.000300
8750,5.624193,5.659993,8.472090,0.000300
8800,5.609466,5.652073,8.456806,0.000300
8850,5.748867,5.790939,8.665373,0.000300
8900,5.843581,5.884959,8.806749,0.000300
8950,5.845259,5.887088,8.809718,0.000300
9000,5.843985,5.873425,8.795418,0.000300
9050,5.653834,5.688674,8.515591,0.000300
9100,5.473833,5.528394,8.265310,0.000300
9150,5.648599,5.698511,8.522811,0.000300
9200,5.634354,5.678938,8.496115,0.000300
9250,5.625128,5.672735,8.485299,0.000300
9300,5.695751,5.736699,8.584575,0.000300
9350,5.622916,5.659526,8.470984,0.000300
9400,5.636950,5.672571,8.491046,0.000300
9450,5.811404,5.846142,8.751844,0.000300
9500,5.911677,5.956957,8.912796,0.000300
9550,5.819601,5.851548,8.761349,0.000300
9600,5.492641,5.525025,8.271345,0.000300
9650,5.629787,5.682468,8.497361,0.000300
9700,5.925676,5.976785,8.939624,0.000300
9750,5.623569,5.677694,8.489479,0.000300
9800,5.387229,5.448701,8.142316,0.000300
9850,5.616615,5.677609,8.485917,0.000300
9900,5.808870,5.855798,8.760233,0.000300
9950,5.696589,5.734970,8.583264,0.000300
10000,5.658496,5.696456,8.525703,0.000300
10050,5.775948,5.816108,8.704082,0.000300
