step,loss,masked_loss,unmasked_loss,em_ema,mask_prob,lr
50,10.353165,10.374097,10.349394,0.000000,0.002450,0.000007
100,10.254729,10.325337,10.242196,0.000000,0.004950,0.000015
150,9.938696,10.186836,9.893724,0.000000,0.007450,0.000022
200,9.458661,9.958146,9.366692,0.000000,0.009950,0.000030
250,8.913479,9.603627,8.784701,0.000000,0.012450,0.000037
300,8.357884,9.189722,8.202182,0.000000,0.014950,0.000045
350,7.786362,8.797492,7.598822,0.000000,0.017450,0.000052
400,7.215520,8.480420,6.981933,0.001275,0.019950,0.000060
450,6.711676,8.259551,6.422779,0.004068,0.022450,0.000067
500,6.745741,8.700680,6.368318,0.000506,0.024950,0.000075
550,6.921267,9.240829,6.464787,0.000021,0.027450,0.000082
600,6.773256,9.035153,6.359709,0.000001,0.029950,0.000090
650,6.561464,8.818410,6.147121,0.000000,0.032450,0.000097
700,6.290330,8.685999,5.797055,0.000000,0.034950,0.000105
750,6.194172,8.582179,5.709820,0.000000,0.037450,0.000112
800,6.349961,8.695117,5.913281,0.000000,0.039950,0.000120
850,6.372189,8.586012,5.915917,0.000000,0.042450,0.000128
900,5.978891,7.944537,5.514816,0.000000,0.044950,0.000135
950,5.970875,8.001153,5.525037,0.000000,0.047450,0.000142
1000,6.284382,8.640342,5.849680,0.000000,0.049950,0.000150
1050,5.974325,8.056175,5.603090,0.000000,0.052450,0.000157
1100,5.453946,7.106038,5.137469,0.000000,0.054950,0.000165
1150,5.411951,7.174157,5.081817,0.000000,0.057450,0.000172
1200,5.664768,7.802250,5.277252,0.000000,0.059950,0.000180
1250,5.733321,8.019851,5.332316,0.000000,0.062450,0.000187
1300,5.854994,7.800442,5.496274,0.000000,0.064950,0.000195
1350,6.055237,7.819236,5.717278,0.000000,0.067450,0.000202
1400,6.164567,8.181850,5.763849,0.000000,0.069950,0.000210
1450,6.202064,8.316763,5.772600,0.000000,0.072450,0.000217
1500,6.184100,8.148122,5.769018,0.000000,0.074950,0.000225
1550,6.134931,8.204554,5.655298,0.000000,0.077450,0.000232
1600,5.969109,8.161432,5.461560,0.000000,0.079950,0.000240
1650,5.911345,8.028550,5.445276,0.000385,0.082450,0.000247
1700,6.029793,8.127544,5.589867,0.000154,0.084950,0.000255
1750,6.069638,8.055002,5.659488,0.000006,0.087450,0.000262
1800,5.945588,7.825079,5.551074,0.000098,0.089950,0.000270
1850,5.960836,7.682011,5.570701,0.000004,0.092450,0.000277
1900,6.023846,7.903915,5.584298,0.000000,0.094950,0.000285
1950,6.097226,8.228711,5.606990,0.000282,0.097450,0.000293
2000,6.112993,7.979828,5.655679,0.009156,0.099950,0.000300
2050,5.519131,7.553596,5.009888,0.000725,0.102450,0.000300
2100,5.502654,7.722851,4.965377,0.000030,0.104950,0.000300
2150,5.974837,8.122616,5.464682,0.000296,0.107450,0.000300
2200,6.022504,8.159429,5.505804,0.000012,0.109950,0.000300
2250,6.047548,7.950875,5.555102,0.000000,0.112450,0.000300
2300,5.956505,7.596253,5.499175,0.000000,0.114950,0.000300
2350,5.931108,7.604890,5.469513,0.000000,0.117450,0.000300
2400,5.825693,7.552213,5.356771,0.000438,0.119950,0.000300
2450,5.627862,7.278278,5.164231,0.000018,0.122450,0.000300
2500,5.621547,7.431357,5.121275,0.000562,0.124950,0.000300
2550,6.031495,7.956548,5.481807,0.000023,0.127450,0.000300
2600,6.366109,8.202871,5.803502,0.000001,0.129950,0.000300
2650,6.315186,8.029762,5.770257,0.000000,0.132450,0.000300
2700,6.086278,7.856308,5.527771,0.000000,0.134950,0.000300
2750,5.861832,7.487979,5.329177,0.000000,0.137450,0.000300
2800,6.055255,7.759232,5.490693,0.000000,0.139950,0.000300
