step,recon_loss,contrastive_loss,variance_loss,covariance_loss,em_ema,contrastive_weight,lr
50,10.379379,0.108320,0.971250,0.000063,0.000000,0.000980,0.000007
100,10.299844,0.145771,0.972216,0.000054,0.000000,0.001980,0.000015
150,10.061400,0.214367,0.973595,0.000037,0.000000,0.002980,0.000022
200,9.735450,0.250867,0.974343,0.000024,0.000000,0.003980,0.000030
250,9.396519,0.263799,0.974911,0.000018,0.000000,0.004980,0.000037
300,9.032195,0.301824,0.975039,0.000017,0.000000,0.005980,0.000045
350,8.607644,0.372137,0.974745,0.000017,0.000000,0.006980,0.000052
400,8.297067,0.368848,0.975064,0.000017,0.000000,0.007980,0.000060
450,8.206049,0.407306,0.975088,0.000017,0.000000,0.008980,0.000067
500,7.887206,0.427401,0.974976,0.000018,0.000000,0.009980,0.000075
550,7.431754,0.323843,0.975600,0.000018,0.000000,0.010980,0.000082
600,7.200217,0.246795,0.976205,0.000018,0.000000,0.011980,0.000090
650,7.077205,0.198642,0.976661,0.000018,0.000000,0.012980,0.000097
700,7.005360,0.182369,0.976801,0.000019,0.000000,0.013980,0.000105
750,7.110481,0.174631,0.976853,0.000020,0.000000,0.014980,0.000112
800,7.578068,0.173508,0.976649,0.000022,0.000000,0.015980,0.000120
850,7.579270,0.190555,0.976285,0.000025,0.000000,0.016980,0.000128
900,7.389036,0.381358,0.975297,0.000030,0.000000,0.017980,0.000135
950,7.094458,0.617278,0.974417,0.000080,0.000000,0.018980,0.000142
1000,7.159547,0.409190,0.976192,0.000106,0.000000,0.019980,0.000150
1050,7.201682,0.139836,0.977729,0.000105,0.000000,0.020980,0.000157
1100,6.397221,0.182897,0.977685,0.000132,0.000000,0.021980,0.000165
1150,5.987873,0.275554,0.977529,0.000122,0.000000,0.022980,0.000172
1200,6.570273,0.428075,0.977263,0.000091,0.000000,0.023980,0.000180
1250,7.070077,0.405580,0.976690,0.000066,0.000000,0.024980,0.000187
1300,6.951609,0.678642,0.975343,0.000050,0.000000,0.025980,0.000195
1350,7.140900,0.912607,0.974237,0.000043,0.000000,0.026980,0.000202
1400,7.363374,0.549003,0.974130,0.000076,0.000000,0.027980,0.000210
1450,7.296770,0.226600,0.975398,0.000104,0.000000,0.028980,0.000217
1500,7.188680,0.101318,0.976625,0.000093,0.000000,0.029980,0.000225
1550,7.466348,0.173215,0.977438,0.000085,0.000000,0.030980,0.000232
1600,7.583848,0.223436,0.978311,0.000075,0.000000,0.031980,0.000240
1650,7.456193,0.217180,0.977894,0.000071,0.000000,0.032980,0.000247
1700,7.472429,0.261504,0.975744,0.000076,0.000000,0.033980,0.000255
1750,7.343072,0.206142,0.974462,0.000096,0.000000,0.034980,0.000262
1800,7.214850,0.103181,0.974960,0.000106,0.000000,0.035980,0.000270
1850,7.157447,0.183001,0.976567,0.000087,0.000000,0.036980,0.000277
1900,6.765461,0.202011,0.977056,0.000080,0.000000,0.037980,0.000285
1950,6.906005,0.207156,0.976645,0.000077,0.000000,0.038980,0.000293
2000,7.414056,0.301895,0.976669,0.000062,0.000000,0.039980,0.000300
2050,7.241581,0.248323,0.974768,0.000061,0.000000,0.040980,0.000300
2100,6.976013,0.131730,0.973306,0.000093,0.000000,0.041980,0.000300
2150,6.984267,0.142609,0.974559,0.000112,0.000000,0.042980,0.000300
2200,7.022586,0.150315,0.975826,0.000092,0.000000,0.043980,0.000300
2250,7.102912,0.141765,0.976123,0.000078,0.000000,0.044980,0.000300
2300,6.759809,0.168469,0.975787,0.000072,0.000000,0.045980,0.000300
