step,loss,lr
50,10.962019,0.001225
100,7.477685,0.002475
150,4.918487,0.003725
200,3.963895,0.004975
250,3.529266,0.006225
300,3.775662,0.007475
350,3.324448,0.008725
400,3.484403,0.009975
450,2.811407,0.011225
500,2.553534,0.012475
550,2.434158,0.013725
600,2.342412,0.014975
650,2.300466,0.016225
700,2.270955,0.017475
750,2.242832,0.018725
800,2.237872,0.019975
850,2.266712,0.021225
900,3.453919,0.022475
950,3.898672,0.023725
1000,4.420828,0.024975
1050,4.581234,0.025000
1100,3.909069,0.025000
1150,5.213029,0.025000
1200,5.104715,0.025000
1250,4.678325,0.025000
1300,3.551355,0.025000
1350,4.458844,0.025000
1400,4.573548,0.025000
1450,5.152209,0.025000
1500,5.482867,0.025000
1550,4.685028,0.025000
1600,4.377562,0.025000
1650,5.833306,0.025000
1700,5.235209,0.025000
1750,5.072707,0.025000
1800,4.676822,0.025000
1850,4.273040,0.025000
1900,5.243302,0.025000
1950,5.869235,0.025000
2000,5.285441,0.025000
2050,5.284469,0.025000
2100,5.915728,0.025000
2150,3.879431,0.025000
2200,5.012878,0.025000
2250,3.924607,0.025000
2300,3.648831,0.025000
2350,5.250917,0.025000
2400,4.516718,0.025000
2450,4.981642,0.024999
2500,5.236876,0.024999
2550,5.012906,0.024999
2600,5.386570,0.024999
2650,5.968734,0.024999
2700,5.303106,0.024999
2750,5.041341,0.024999
2800,3.426891,0.024999
2850,2.557430,0.024999
2900,2.281612,0.024999
2950,5.452593,0.024999
3000,4.671469,0.024999
3050,5.558245,0.024999
3100,5.544307,0.024999
3150,4.725217,0.024999
3200,3.927583,0.024999
3250,3.667151,0.024999
3300,5.087098,0.024999
3350,5.882946,0.024999
3400,4.869997,0.024999
3450,4.290154,0.024999
3500,5.785946,0.024998
3550,6.155858,0.024998
3600,5.559178,0.024998
3650,5.266471,0.024998
3700,5.099371,0.024998
3750,5.023536,0.024998
3800,5.271371,0.024998
3850,5.612020,0.024998
3900,5.709198,0.024998
3950,5.077915,0.024998
4000,5.126204,0.024998
4050,4.236692,0.024998
4100,3.874380,0.024998
4150,4.708330,0.024998
4200,4.921020,0.024997
4250,5.652188,0.024997
4300,4.872601,0.024997
4350,4.391657,0.024997
4400,4.587670,0.024997
4450,2.757855,0.024997
4500,2.471117,0.024997
4550,2.317824,0.024997
4600,2.216554,0.024997
4650,5.165356,0.024997
4700,5.076179,0.024997
4750,4.694166,0.024997
4800,4.588755,0.024996
4850,5.085978,0.024996
4900,3.945945,0.024996
4950,3.657878,0.024996
5000,5.401464,0.024996
5050,5.912441,0.024996
5100,5.771913,0.024996
5150,4.474336,0.024996
5200,5.153610,0.024996
5250,5.587697,0.024996
5300,4.855943,0.024995
5350,5.528184,0.024995
5400,4.905890,0.024995
5450,4.955687,0.024995
5500,4.282794,0.024995
5550,5.596326,0.024995
5600,5.167320,0.024995
5650,4.727488,0.024995
5700,4.172560,0.024995
5750,4.142542,0.024994
5800,5.508990,0.024994
5850,5.459090,0.024994
5900,4.821451,0.024994
5950,4.866018,0.024994
6000,4.882345,0.024994
6050,5.109068,0.024994
6100,4.510459,0.024994
6150,4.843245,0.024993
6200,5.046877,0.024993
6250,4.800449,0.024993
6300,5.253573,0.024993
6350,5.082320,0.024993
6400,4.568607,0.024993
6450,4.411962,0.024993
6500,3.855209,0.024993
6550,4.492634,0.024992
6600,4.395045,0.024992
6650,4.550754,0.024992
6700,5.186145,0.024992
6750,4.752921,0.024992
6800,4.990775,0.024992
6850,4.480572,0.024992
6900,2.424876,0.024991
6950,4.071408,0.024991
7000,4.658196,0.024991
7050,3.897145,0.024991
7100,4.874253,0.024991
7150,4.708093,0.024991
7200,4.885451,0.024991
7250,4.646995,0.024990
7300,4.772162,0.024990
7350,4.243834,0.024990
7400,4.540789,0.024990
7450,5.146416,0.024990
7500,4.409537,0.024990
7550,3.223987,0.024989
7600,4.270836,0.024989
7650,4.467196,0.024989
7700,4.799678,0.024989
7750,5.004211,0.024989
7800,4.792535,0.024989
7850,4.061993,0.024988
7900,5.549915,0.024988
7950,4.369916,0.024988
8000,4.072801,0.024988
8050,4.053869,0.024988
8100,4.055361,0.024988
8150,4.023878,0.024987
8200,5.493510,0.024987
8250,5.256729,0.024987
8300,4.669958,0.024987
8350,4.856714,0.024987
8400,4.431748,0.024986
8450,5.014751,0.024986
8500,4.719895,0.024986
8550,4.112862,0.024986
8600,4.417599,0.024986
8650,3.802635,0.024986
8700,4.385705,0.024985
8750,4.247880,0.024985
8800,4.461437,0.024985
8850,3.841459,0.024985
8900,3.356620,0.024985
8950,4.622613,0.024984
9000,4.121914,0.024984
9050,3.101132,0.024984
9100,4.903603,0.024984
9150,4.672929,0.024984
9200,4.659449,0.024983
9250,4.443644,0.024983
9300,4.445533,0.024983
9350,4.966551,0.024983
9400,4.565296,0.024983
9450,4.499868,0.024982
9500,4.522657,0.024982
9550,4.894998,0.024982
9600,4.190073,0.024982
9650,4.178161,0.024982
9700,5.151459,0.024981
9750,4.454825,0.024981
9800,5.328344,0.024981
9850,5.007286,0.024981
9900,4.979828,0.024980
9950,5.005321,0.024980
10000,5.298887,0.024980
10050,5.423007,0.024980
10100,4.796080,0.024980
10150,4.194154,0.024979
10200,4.741037,0.024979
10250,4.368997,0.024979
10300,4.242077,0.024979
10350,4.678012,0.024978
10400,4.304677,0.024978
10450,4.831907,0.024978
10500,4.460629,0.024978
10550,4.589973,0.024978
10600,3.973970,0.024977
10650,5.016550,0.024977
10700,4.525272,0.024977
10750,4.875108,0.024977
10800,4.019875,0.024976
10850,4.488094,0.024976
10900,4.603936,0.024976
10950,4.774854,0.024976
11000,4.366002,0.024975
11050,3.904937,0.024975
11100,4.432240,0.024975
11150,4.878649,0.024975
11200,4.067698,0.024974
11250,3.696479,0.024974
11300,4.765848,0.024974
11350,4.768516,0.024974
11400,4.414536,0.024973
11450,4.744248,0.024973
11500,4.792596,0.024973
11550,4.297334,0.024973
11600,4.055180,0.024972
11650,4.685480,0.024972
11700,4.528035,0.024972
11750,4.973506,0.024972
11800,4.281563,0.024971
11850,4.156851,0.024971
11900,4.078520,0.024971
11950,4.268607,0.024970
12000,4.595279,0.024970
12050,3.934917,0.024970
12100,4.519185,0.024970
12150,4.433627,0.024969
12200,4.786320,0.024969
12250,4.549295,0.024969
12300,4.214564,0.024969
12350,4.012559,0.024968
12400,4.742313,0.024968
12450,4.826427,0.024968
12500,4.754797,0.024967
12550,4.113457,0.024967
12600,4.979097,0.024967
12650,4.417347,0.024967
12700,4.473921,0.024966
12750,4.476128,0.024966
12800,3.812387,0.024966
12850,3.624148,0.024965
12900,3.482642,0.024965
12950,4.009887,0.024965
13000,2.755585,0.024964
13050,3.316581,0.024964
13100,4.049660,0.024964
13150,4.647465,0.024964
13200,4.407366,0.024963
13250,4.666840,0.024963
13300,4.145836,0.024963
13350,3.957004,0.024962
13400,4.272924,0.024962
13450,4.859564,0.024962
13500,4.836527,0.024961
13550,4.940610,0.024961
13600,4.094381,0.024961
13650,4.905703,0.024961
13700,4.472104,0.024960
13750,4.266199,0.024960
13800,4.113824,0.024960
13850,5.041596,0.024959
13900,5.315592,0.024959
13950,4.500672,0.024959
14000,4.039203,0.024958
14050,3.771896,0.024958
14100,4.321073,0.024958
14150,4.751355,0.024957
14200,3.774054,0.024957
14250,3.409641,0.024957
14300,3.192436,0.024956
14350,3.968187,0.024956
14400,4.825759,0.024956
14450,4.172391,0.024955
14500,4.562206,0.024955
14550,4.647872,0.024955
14600,4.790162,0.024954
14650,3.726966,0.024954
14700,3.753570,0.024954
14750,4.581092,0.024953
14800,4.304792,0.024953
14850,4.797047,0.024953
14900,4.798236,0.024952
14950,4.154790,0.024952
15000,4.047231,0.024952
15050,3.167356,0.024951
15100,5.043329,0.024951
15150,4.409213,0.024951
15200,4.469249,0.024950
15250,4.246634,0.024950
15300,4.151727,0.024950
15350,4.393711,0.024949
15400,3.691262,0.024949
15450,5.011184,0.024949
15500,4.232330,0.024948
15550,3.580781,0.024948
15600,4.378103,0.024947
15650,3.675495,0.024947
15700,3.386399,0.024947
15750,3.727897,0.024946
15800,4.367966,0.024946
15850,4.270746,0.024946
15900,4.815492,0.024945
15950,4.333805,0.024945
16000,4.290213,0.024945
16050,4.636150,0.024944
16100,4.173469,0.024944
16150,3.886849,0.024943
16200,4.125669,0.024943
16250,1.157576,0.024943
16300,3.482446,0.024942
16350,4.409624,0.024942
16400,4.951177,0.024942
16450,4.254946,0.024941
16500,4.385105,0.024941
16550,4.070161,0.024940
16600,3.433441,0.024940
16650,3.213317,0.024940
16700,3.067727,0.024939
16750,3.951304,0.024939
16800,5.290872,0.024938
16850,4.197168,0.024938
16900,3.786472,0.024938
16950,4.333093,0.024937
17000,4.294221,0.024937
17050,4.348058,0.024937
17100,4.766247,0.024936
17150,4.890728,0.024936
17200,5.137807,0.024935
17250,4.594973,0.024935
17300,4.957418,0.024935
17350,4.400308,0.024934
17400,3.856103,0.024934
17450,5.158697,0.024933
17500,4.534485,0.024933
17550,4.267597,0.024932
17600,4.136779,0.024932
17650,4.089892,0.024932
17700,4.727241,0.024931
17750,4.282162,0.024931
17800,4.397869,0.024930
17850,4.371399,0.024930
17900,4.345574,0.024930
17950,3.821406,0.024929
18000,4.044127,0.024929
18050,4.322608,0.024928
18100,4.631608,0.024928
18150,5.020847,0.024928
18200,4.550171,0.024927
18250,4.232057,0.024927
18300,3.974983,0.024926
18350,2.514369,0.024926
18400,2.785829,0.024925
18450,3.946890,0.024925
18500,5.154402,0.024925
18550,4.160177,0.024924
18600,4.788879,0.024924
18650,4.609844,0.024923
18700,4.802399,0.024923
18750,4.194099,0.024922
18800,3.947100,0.024922
18850,3.825389,0.024921
18900,3.395691,0.024921
18950,4.528958,0.024921
19000,4.177849,0.024920
19050,4.998864,0.024920
19100,4.475539,0.024919
19150,4.789246,0.024919
19200,4.824068,0.024918
19250,3.806821,0.024918
19300,3.942288,0.024917
19350,4.699929,0.024917
19400,5.021843,0.024917
19450,4.684542,0.024916
19500,4.311433,0.024916
19550,4.132575,0.024915
19600,4.014848,0.024915
19650,4.285477,0.024914
19700,4.477832,0.024914
19750,4.584639,0.024913
19800,4.071456,0.024913
19850,4.084621,0.024912
19900,3.990403,0.024912
19950,2.287835,0.024912
20000,4.772701,0.024911
20050,4.521595,0.024911
20100,4.522462,0.024910
20150,4.283259,0.024910
20200,4.121489,0.024909
20250,4.060669,0.024909
20300,4.448406,0.024908
20350,4.219913,0.024908
20400,3.782853,0.024907
20450,3.828868,0.024907
20500,4.731070,0.024906
20550,4.382124,0.024906
20600,4.424333,0.024905
20650,4.352970,0.024905
20700,4.328762,0.024904
20750,4.163953,0.024904
20800,4.310349,0.024903
20850,4.403276,0.024903
20900,4.267715,0.024902
20950,3.866238,0.024902
21000,4.056203,0.024901
21050,3.732692,0.024901
21100,4.009093,0.024900
21150,4.429470,0.024900
21200,4.096597,0.024899
21250,4.639260,0.024899
21300,3.704266,0.024898
21350,3.671457,0.024898
21400,4.161601,0.024897
21450,4.034029,0.024897
21500,5.180458,0.024896
21550,4.553350,0.024896
21600,4.378655,0.024895
21650,4.126881,0.024895
21700,4.807446,0.024894
21750,5.000696,0.024894
21800,4.457545,0.024893
21850,4.668020,0.024893
21900,4.518471,0.024892
21950,5.071682,0.024892
22000,3.549006,0.024891
22050,2.895617,0.024891
22100,2.657908,0.024890
22150,2.515246,0.024890
22200,3.396953,0.024889
22250,4.251202,0.024889
22300,3.890232,0.024888
22350,4.576189,0.024888
22400,4.246025,0.024887
22450,4.585573,0.024887
22500,4.159754,0.024886
22550,4.550065,0.024886
22600,4.779869,0.024885
22650,4.297795,0.024885
22700,3.854125,0.024884
22750,3.615598,0.024883
22800,4.042162,0.024883
22850,4.308904,0.024882
22900,4.418532,0.024882
22950,4.604776,0.024881
23000,4.271065,0.024881
23050,4.396430,0.024880
23100,4.304975,0.024880
23150,3.784452,0.024879
23200,3.912130,0.024879
23250,3.295439,0.024878
23300,3.143911,0.024878
23350,3.064546,0.024877
23400,2.986846,0.024876
23450,2.939359,0.024876
23500,4.385363,0.024875
23550,4.264684,0.024875
23600,4.057831,0.024874
23650,3.933582,0.024874
23700,3.842869,0.024873
23750,3.766500,0.024873
23800,4.561210,0.024872
23850,4.140496,0.024871
23900,3.864291,0.024871
23950,3.863966,0.024870
24000,4.681292,0.024870
24050,4.264239,0.024869
24100,4.108590,0.024869
24150,4.610800,0.024868
24200,3.698496,0.024867
24250,3.807077,0.024867
24300,4.184817,0.024866
