step,loss,ppl,lr,temp
50,11.483729,97122.540707,0.000007,0.999854
100,11.340271,84142.859317,0.000015,0.999227
150,11.222456,74791.239313,0.000022,0.998239
200,11.196335,72862.925719,0.000030,0.996911
250,11.192545,72587.284933,0.000037,0.995233
300,11.184342,71994.281718,0.000045,0.993182
350,11.225586,75025.696348,0.000052,0.990884
400,11.183306,71919.754137,0.000060,0.988064
450,11.180352,71707.566640,0.000067,0.984924
500,11.132985,68390.214086,0.000075,0.981373
550,11.158925,70187.438611,0.000082,0.977620
600,11.150555,69602.466674,0.000090,0.973426
650,11.141444,68971.147135,0.000097,0.968911
700,11.132457,68354.079239,0.000105,0.964044
750,11.130610,68227.958129,0.000112,0.958876
800,11.135372,68553.685878,0.000120,0.953406
850,11.121524,67610.869351,0.000127,0.947541
900,11.117018,67306.906450,0.000135,0.941399
950,11.112070,66974.675544,0.000142,0.934970
1000,11.083869,65112.297276,0.000150,0.928186
1050,11.120886,67567.733937,0.000157,0.921384
1100,11.127782,68035.285794,0.000165,0.914113
1150,11.105305,66523.114729,0.000172,0.906490
1200,11.103951,66433.089249,0.000180,0.898627
1250,11.096922,65967.767766,0.000187,0.890509
1300,11.105245,66519.126923,0.000195,0.882184
1350,11.079645,64837.847936,0.000202,0.873547
1400,11.077033,64668.756284,0.000210,0.864748
1450,11.086798,65303.285531,0.000217,0.855805
1500,11.079448,64825.068378,0.000225,0.846562
1550,11.062156,63713.773828,0.000232,0.837050
1600,11.053627,63172.642439,0.000240,0.827411
1650,11.060162,63586.838196,0.000247,0.817658
1700,11.077757,64715.567864,0.000255,0.807846
1750,11.037097,62137.024717,0.000262,0.797596
1800,11.012019,60598.089045,0.000270,0.787195
1850,11.020974,61143.198966,0.000277,0.776794
1900,11.047401,62780.569625,0.000285,0.766374
1950,11.013781,60705.005579,0.000292,0.755633
2000,11.015754,60824.842844,0.000300,0.744860
2050,10.994210,59528.495392,0.000300,0.734057
2100,10.970237,58118.340465,0.000300,0.723452
2150,10.965868,57865.014691,0.000300,0.713039
2200,10.971295,58179.908627,0.000300,0.702854
2250,10.960217,57538.927302,0.000300,0.692752
2300,10.972827,58269.059464,0.000300,0.682972
2350,10.949646,56933.870420,0.000300,0.673177
2400,10.913061,54888.617554,0.000300,0.663467
2450,10.901579,54261.959987,0.000300,0.654032
