step,sg_loss,cbow_loss,lr
50,11.046712,11.041147,0.000613
100,9.055002,8.870987,0.001238
150,4.776161,4.103970,0.001863
200,3.627539,2.985306,0.002488
250,3.445885,3.408741,0.003113
300,3.433133,3.728490,0.003738
350,3.448124,3.632004,0.004363
400,3.503054,3.572150,0.004988
450,3.448575,3.339498,0.005613
500,3.430758,3.095387,0.006238
550,3.452625,3.379907,0.006863
600,3.393228,3.414221,0.007488
650,3.428328,2.999699,0.008112
700,3.486733,3.368840,0.008738
750,3.473989,2.825778,0.009363
800,3.469475,3.252538,0.009987
850,3.527653,3.038461,0.010613
900,3.563120,3.309576,0.011238
950,3.544182,2.999852,0.011863
1000,3.592987,3.012084,0.012488
1050,3.647251,3.298340,0.013113
1100,3.696216,3.355829,0.013738
1150,3.717106,3.246992,0.014363
1200,3.765946,3.305995,0.014988
1250,3.808095,3.152701,0.015613
1300,3.893841,3.163579,0.016238
1350,3.990299,2.725541,0.016862
1400,3.876480,1.456608,0.017487
1450,3.945142,2.273220,0.018113
1500,3.999706,2.871336,0.018738
1550,4.157934,3.021406,0.019363
1600,4.348866,3.150039,0.019988
1650,4.442428,3.318240,0.020613
1700,4.641412,3.296952,0.021237
1750,4.922516,3.336579,0.021862
1800,4.997678,3.574335,0.022488
1850,5.194169,3.527384,0.023113
1900,5.371166,3.550908,0.023738
1950,5.589115,3.684834,0.024363
