step,sg_loss,cbow_loss,var_loss,lr
50,11.081515,11.080820,11.082095,0.000306
100,10.404684,10.461849,10.419874,0.000619
150,7.057369,7.107927,6.720018,0.000931
200,4.707361,4.625080,3.821367,0.001244
250,3.929056,4.169985,3.051796,0.001556
300,3.547570,4.008805,2.781375,0.001869
350,3.448073,3.962442,2.719434,0.002181
400,3.326812,3.930694,2.637231,0.002494
450,3.252338,3.942700,2.592786,0.002806
500,3.193272,3.940150,2.560161,0.003119
550,3.116494,3.916480,2.516483,0.003431
600,3.082523,3.914342,2.495556,0.003744
650,3.051798,3.900230,2.485378,0.004056
700,3.034750,3.912222,2.468041,0.004369
750,3.000176,3.876245,2.456466,0.004681
800,3.022923,3.905588,2.464769,0.004994
850,2.997797,3.863018,2.449152,0.005306
900,2.984700,3.822674,2.444338,0.005619
950,3.035169,3.887910,2.468338,0.005931
1000,2.964808,3.788965,2.422950,0.006244
1050,2.939338,3.779517,2.408757,0.006556
1100,2.965448,3.807180,2.420732,0.006869
1150,2.930586,3.743594,2.380929,0.007181
1200,2.757372,3.503492,2.267541,0.007494
1250,2.723696,3.420661,2.225878,0.007806
1300,2.666612,3.296930,2.186595,0.008119
1350,2.674382,3.286469,2.173271,0.008431
1400,2.655825,3.253225,2.168794,0.008744
1450,2.655635,3.243587,2.156949,0.009056
1500,2.690939,3.305495,2.182982,0.009369
1550,2.711250,3.327742,2.206647,0.009681
1600,2.686388,3.289568,2.185127,0.009994
1650,2.684154,3.291229,2.192156,0.010306
1700,2.692719,3.240417,2.184058,0.010619
1750,2.672303,3.178032,2.160340,0.010931
1800,2.647445,3.097709,2.130816,0.011244
1850,2.624939,3.021018,2.101533,0.011556
1900,2.620699,2.969303,2.082312,0.011869
1950,2.612031,2.955875,2.087427,0.012181
2000,2.603626,2.911197,2.076680,0.012494
2050,2.646051,2.958303,2.102100,0.012806
2100,2.658290,2.958884,2.108474,0.013119
2150,2.665435,2.957728,2.120364,0.013431
2200,2.677740,2.960720,2.118306,0.013744
2250,2.682552,2.953542,2.114809,0.014056
2300,2.720262,2.978278,2.149780,0.014369
2350,2.670763,2.842130,2.102409,0.014681
2400,2.711619,2.912855,2.122003,0.014994
2450,2.674762,2.860350,2.096233,0.015306
2500,2.643445,2.805429,2.073712,0.015619
2550,2.746899,2.910520,2.133951,0.015931
2600,2.707090,2.787717,2.095232,0.016244
2650,2.701817,2.725532,2.066444,0.016556
2700,2.683343,2.690520,2.051539,0.016869
2750,3.144490,3.320339,2.351847,0.017181
2800,3.231490,3.461113,2.419362,0.017494
2850,3.285787,3.528836,2.473197,0.017806
2900,3.253623,3.475374,2.445388,0.018119
2950,3.200550,3.424279,2.420300,0.018431
3000,3.262948,3.567218,2.446493,0.018744
3050,3.222050,3.486278,2.428534,0.019056
3100,3.094011,3.262337,2.322750,0.019369
3150,3.282626,3.601807,2.470677,0.019681
3200,3.263943,3.502649,2.455708,0.019994
3250,3.286024,3.555723,2.458182,0.020306
3300,3.262563,3.548667,2.455332,0.020619
3350,3.228380,3.500724,2.422913,0.020931
3400,3.257212,3.506263,2.445050,0.021244
3450,3.332395,3.570745,2.468857,0.021556
3500,3.139918,3.302330,2.335421,0.021869
3550,3.334961,3.591760,2.477413,0.022181
3600,3.250862,3.396947,2.422132,0.022494
3650,3.248642,3.448080,2.424507,0.022806
3700,3.300172,3.511321,2.444620,0.023119
3750,3.307248,3.514524,2.463314,0.023431
3800,3.305713,3.533474,2.455929,0.023744
3850,3.413237,3.552084,2.480896,0.024056
3900,3.143627,3.195259,2.325955,0.024369
3950,3.398415,3.571172,2.491067,0.024681
4000,3.381750,3.578218,2.493658,0.024994
4050,3.415837,3.579891,2.482280,0.025000
4100,3.370465,3.572028,2.481553,0.025000
4150,3.348721,3.533465,2.471211,0.025000
4200,3.294136,3.445130,2.442906,0.025000
4250,3.318910,3.418962,2.424456,0.025000
4300,3.398944,3.536417,2.471602,0.025000
4350,3.300243,3.410418,2.420353,0.025000
4400,3.360928,3.563631,2.471074,0.025000
4450,3.356835,3.513558,2.464353,0.025000
4500,3.441070,3.530923,2.478905,0.025000
4550,3.442232,3.665998,2.509555,0.025000
4600,3.396298,3.609483,2.504999,0.025000
4650,3.438414,3.639396,2.513885,0.025000
4700,3.464483,3.603052,2.508838,0.025000
4750,3.366827,3.586505,2.487608,0.025000
4800,3.383753,3.594245,2.493035,0.025000
4850,3.364470,3.546676,2.463720,0.025000
4900,3.390232,3.466771,2.465689,0.025000
4950,3.420335,3.582785,2.495019,0.025000
5000,3.266474,3.320469,2.391031,0.025000
5000,3.266474,3.320469,2.391031,0.025000,0.100000,0.167592,0.227141,0.059548
5050,3.447232,3.555379,2.494630,0.025000
5100,3.452124,3.530721,2.498167,0.025000
5150,3.501555,3.379342,2.487575,0.025000
5200,3.482943,3.579999,2.514811,0.025000
5250,3.427043,3.550607,2.481013,0.025000
5300,3.442555,3.619894,2.507766,0.025000
5350,3.302822,3.442472,2.428309,0.025000
5400,3.448862,3.653944,2.529516,0.025000
5450,3.412271,3.565047,2.485925,0.025000
5500,3.359755,3.482688,2.452908,0.025000
5550,3.398875,3.547468,2.472633,0.025000
5600,3.405487,3.514167,2.476558,0.025000
5650,3.381461,3.546181,2.484074,0.025000
5700,3.396523,3.604754,2.488265,0.025000
5750,3.409696,3.583746,2.473132,0.025000
5800,3.441414,3.610261,2.506717,0.025000
5850,3.329693,3.354297,2.422662,0.025000
5900,3.382109,3.501215,2.471065,0.025000
5950,3.442539,3.573264,2.505337,0.025000
6000,3.408939,3.514697,2.476500,0.025000
6050,3.349234,3.482119,2.455280,0.025000
6100,3.401993,3.525653,2.475741,0.025000
6150,3.494042,3.644798,2.527483,0.025000
6200,3.377951,3.512548,2.467204,0.025000
6250,3.404601,3.518146,2.469817,0.025000
6300,3.423352,3.591863,2.493080,0.025000
6350,3.379133,3.559006,2.463129,0.025000
6400,3.403611,3.617053,2.489902,0.025000
6450,3.377945,3.520564,2.460143,0.025000
6500,3.436315,3.632368,2.516045,0.025000
6550,3.391421,3.563252,2.483840,0.025000
6600,3.384899,3.542009,2.465955,0.025000
6650,3.367801,3.539885,2.465554,0.025000
6700,3.301891,3.400561,2.416327,0.025000
6750,3.469692,3.672787,2.521295,0.025000
6800,3.429904,3.612460,2.498342,0.025000
6850,3.388591,3.579764,2.484011,0.025000
6900,3.359609,3.539726,2.449792,0.025000
6950,3.181665,3.239674,2.342873,0.025000
7000,3.398857,3.455750,2.452946,0.025000
7050,3.424714,3.539472,2.461444,0.025000
7100,3.259424,3.258389,2.331467,0.025000
7150,3.244683,3.304397,2.377692,0.025000
7200,3.462827,3.613424,2.488636,0.025000
7250,3.317414,3.455621,2.436090,0.025000
7300,3.366198,3.521743,2.455720,0.025000
7350,3.429574,3.597125,2.499523,0.025000
7400,3.354086,3.484351,2.449106,0.025000
7450,3.275149,3.404305,2.395049,0.025000
7500,3.332816,3.532757,2.456645,0.025000
7550,3.172182,3.212250,2.324085,0.025000
7600,3.407576,3.581087,2.477891,0.025000
7650,3.148117,3.207888,2.327058,0.025000
7700,3.505797,3.632619,2.523354,0.025000
7750,3.348078,3.542971,2.458530,0.025000
7800,3.302781,3.478251,2.434128,0.025000
7850,3.413248,3.544669,2.479991,0.025000
7900,3.344234,3.420548,2.422069,0.025000
7950,3.434746,3.659840,2.501607,0.025000
8000,3.256184,3.402956,2.395215,0.025000
8050,3.328612,3.509611,2.449746,0.025000
8100,3.323173,3.473819,2.439419,0.025000
8150,3.303508,3.504978,2.428781,0.025000
8200,3.344582,3.545391,2.453658,0.025000
8250,3.333115,3.489956,2.446060,0.025000
8300,3.270852,3.350845,2.369214,0.025000
8350,3.407841,3.580533,2.484046,0.025000
8400,3.197911,3.245052,2.349620,0.025000
8450,3.425223,3.630662,2.495367,0.025000
8500,3.369593,3.606597,2.479094,0.025000
8550,3.361766,3.535066,2.455258,0.025000
8600,3.266260,3.408157,2.404477,0.025000
8650,3.326513,3.486607,2.431671,0.025000
8700,3.312558,3.428245,2.413385,0.025000
8750,3.382895,3.496432,2.458843,0.025000
8800,3.192621,3.179067,2.337444,0.025000
8850,3.337776,3.471139,2.436197,0.025000
8900,3.021499,2.945679,2.191297,0.025000
8950,3.434722,3.588487,2.498951,0.025000
9000,3.281218,3.447422,2.416694,0.025000
9050,3.339482,3.515868,2.456680,0.025000
9100,3.325770,3.470393,2.433056,0.025000
9150,3.331609,3.437781,2.438819,0.025000
9200,3.389767,3.494930,2.466102,0.025000
9250,3.366987,3.468063,2.442337,0.025000
9300,3.262043,3.378851,2.378789,0.025000
9350,3.324548,3.488131,2.443284,0.025000
9400,3.376003,3.599099,2.478928,0.025000
9450,3.337214,3.533634,2.454419,0.025000
9500,3.237037,3.333813,2.375240,0.025000
9550,3.408027,3.584788,2.464509,0.025000
9600,3.358761,3.534183,2.452789,0.025000
9650,3.246098,3.344021,2.379802,0.025000
9700,3.252508,3.382347,2.379003,0.024999
9750,3.231480,3.367182,2.373537,0.024999
9800,3.227866,3.343350,2.369749,0.024999
9850,3.443443,3.572849,2.475982,0.024999
9900,3.360582,3.537421,2.473021,0.024999
9950,3.508947,3.699133,2.547033,0.024999
10000,3.405414,3.620331,2.475917,0.024999
10000,3.405414,3.620331,2.475917,0.024999,0.300000,0.109525,0.216158,0.106633
