timestamp,step,recon_loss,pos_sim,neg_sim,wo_sim,eff_rank,lr,elapsed_hours
2026-03-06T22:20:55.226504,500,13.408662,0.5224,0.3016,0.9038,35,7.500000e-05,0.0614
2026-03-06T22:23:36.589490,1000,10.994675,0.6406,0.2317,0.9549,33,1.500000e-04,0.1062
2026-03-06T22:26:19.456497,1500,9.067552,0.6525,0.2125,0.9620,34,2.250000e-04,0.1515
2026-03-06T22:29:00.387005,2000,7.800697,0.5836,0.0611,0.9502,39,3.000000e-04,0.1962
2026-03-06T22:31:43.825799,2500,6.832787,0.5192,0.2544,0.9530,44,2.999953e-04,0.2416
2026-03-06T22:34:24.988257,3000,6.158078,0.5605,0.3398,0.9486,45,2.999812e-04,0.2863
2026-03-06T22:37:08.019406,3500,5.548974,0.5894,0.3257,0.9334,47,2.999576e-04,0.3316
2026-03-06T22:39:49.949532,4000,4.646497,0.5808,0.3321,0.9341,55,2.999246e-04,0.3766
2026-03-06T22:42:32.769407,4500,3.678185,0.6262,0.4163,0.9159,58,2.998821e-04,0.4218
2026-03-06T22:45:15.069587,5000,2.121829,0.6206,0.3817,0.8566,65,2.998302e-04,0.4669
2026-03-06T22:47:58.019570,5500,1.842947,0.6533,0.4572,0.7930,67,2.997689e-04,0.5122
2026-03-06T22:50:40.631192,6000,1.687743,0.6548,0.4561,0.7956,68,2.996982e-04,0.5573
2026-03-06T22:53:23.163345,6500,1.531723,0.6398,0.4002,0.8822,69,2.996180e-04,0.6025
2026-03-06T22:56:03.828801,7000,1.464929,0.7094,0.4569,0.7748,69,2.995284e-04,0.6471
2026-03-06T22:58:46.567577,7500,1.348816,0.6620,0.4005,0.8139,67,2.994294e-04,0.6923
2026-03-06T23:01:27.233756,8000,1.302030,0.7134,0.4818,0.7496,68,2.993210e-04,0.7370
2026-03-06T23:04:10.412638,8500,1.157250,0.7107,0.4425,0.8236,65,2.992032e-04,0.7823
2026-03-06T23:06:52.077883,9000,1.131254,0.6491,0.3107,0.8678,65,2.990760e-04,0.8272
2026-03-06T23:09:34.409113,9500,1.115141,0.5749,0.3532,0.8676,64,2.989395e-04,0.8723
2026-03-06T23:12:16.070508,10000,1.017408,0.7093,0.5116,0.8182,63,2.987935e-04,0.9172
2026-03-06T23:15:04.455724,10500,0.986133,0.6134,0.3346,0.8209,61,2.986382e-04,0.9640
2026-03-06T23:17:52.313445,11000,0.959533,0.6997,0.4001,0.8187,60,2.984736e-04,1.0106
2026-03-06T23:20:38.805173,11500,0.896107,0.6646,0.2465,0.8777,59,2.982995e-04,1.0568
2026-03-06T23:23:25.993175,12000,0.903188,0.7312,0.4740,0.8619,61,2.981162e-04,1.1033
2026-03-06T23:26:09.253929,12500,0.863556,0.6910,0.4041,0.8817,58,2.979235e-04,1.1486
2026-03-06T23:28:50.270845,13000,0.867944,0.7061,0.3651,0.8646,59,2.977216e-04,1.1934
2026-03-06T23:31:33.937729,13500,0.839733,0.7286,0.3651,0.8076,59,2.975103e-04,1.2388
2026-03-06T23:34:15.128053,14000,0.865732,0.6573,0.3941,0.8612,58,2.972898e-04,1.2836
2026-03-06T23:36:57.706874,14500,0.850479,0.6880,0.3061,0.8130,58,2.970599e-04,1.3287
2026-03-06T23:39:39.930276,15000,0.819827,0.7047,0.2689,0.8264,57,2.968209e-04,1.3738
2026-03-06T23:42:23.331412,15500,0.820128,0.7073,0.3813,0.8763,58,2.965725e-04,1.4192
2026-03-06T23:45:05.712701,16000,0.748207,0.6943,0.2754,0.8290,56,2.963150e-04,1.4643
2026-03-06T23:47:47.648076,16500,0.739883,0.7139,0.3128,0.7841,57,2.960482e-04,1.5093
2026-03-06T23:50:28.291686,17000,0.734056,0.7041,0.2049,0.7983,56,2.957723e-04,1.5539
2026-03-06T23:53:10.898537,17500,0.714157,0.6908,0.1672,0.8672,59,2.954872e-04,1.5991
2026-03-06T23:55:52.674142,18000,0.668479,0.7107,0.1121,0.8218,56,2.951929e-04,1.6440
2026-03-06T23:58:35.307547,18500,0.668642,0.6601,0.1541,0.8561,57,2.948895e-04,1.6892
2026-03-07T00:01:15.295308,19000,0.641825,0.7173,0.2249,0.8745,56,2.945770e-04,1.7336
2026-03-07T00:03:57.872454,19500,0.644619,0.7573,0.2682,0.8461,57,2.942553e-04,1.7788
2026-03-07T00:06:39.705844,20000,0.642270,0.7288,0.2200,0.8128,56,2.939246e-04,1.8237
2026-03-07T00:09:24.419346,20500,0.619860,0.7033,0.2830,0.8738,55,2.935848e-04,1.8695
2026-03-07T00:12:05.872825,21000,0.582619,0.6594,0.3397,0.8706,55,2.932360e-04,1.9144
2026-03-07T00:14:49.253346,21500,0.581046,0.7218,0.2649,0.8616,54,2.928782e-04,1.9597
2026-03-07T00:17:36.107878,22000,0.569109,0.7492,0.2752,0.8514,54,2.925114e-04,2.0061
2026-03-07T00:20:23.092201,22500,0.558312,0.6720,0.2603,0.8726,53,2.921356e-04,2.0525
2026-03-07T00:23:09.696762,23000,0.559805,0.7377,0.2097,0.8597,55,2.917509e-04,2.0987
2026-03-07T00:25:55.245623,23500,0.560718,0.7517,0.3379,0.8415,55,2.913573e-04,2.1447
2026-03-07T00:28:37.350039,24000,0.548348,0.6894,0.3573,0.8674,54,2.909547e-04,2.1898
2026-03-07T00:31:18.921082,24500,0.551607,0.6590,0.3792,0.8412,54,2.905433e-04,2.2346
2026-03-07T00:33:59.733425,25000,0.556237,0.6830,0.2506,0.9107,54,2.901230e-04,2.2793
2026-03-07T00:36:43.115429,25500,0.539726,0.7155,0.2306,0.8978,54,2.896939e-04,2.3247
2026-03-07T00:39:25.841531,26000,0.545662,0.7304,0.3361,0.8803,52,2.892561e-04,2.3699
2026-03-07T00:42:07.373295,26500,0.496184,0.7466,0.3206,0.8729,52,2.888094e-04,2.4148
2026-03-07T00:44:47.908409,27000,0.484871,0.7682,0.3166,0.8716,52,2.883541e-04,2.4594
2026-03-07T00:47:28.885499,27500,0.496064,0.7228,0.4398,0.8972,53,2.878900e-04,2.5041
2026-03-07T00:50:10.785920,28000,0.488952,0.7296,0.1886,0.9044,52,2.874172e-04,2.5490
2026-03-07T00:52:53.046706,28500,0.491592,0.7874,0.2671,0.8824,52,2.869358e-04,2.5941
2026-03-07T00:55:34.477565,29000,0.489970,0.6800,0.3187,0.9072,52,2.864458e-04,2.6390
2026-03-07T00:58:16.260196,29500,0.485534,0.6990,0.1841,0.9050,52,2.859472e-04,2.6839
2026-03-07T01:00:57.395149,30000,0.483320,0.7152,0.3251,0.9336,52,2.854400e-04,2.7287
2026-03-07T01:03:40.607790,30500,0.476108,0.7297,0.2739,0.9316,53,2.849243e-04,2.7740
2026-03-07T01:06:21.887824,31000,0.483099,0.7088,0.3606,0.8672,51,2.844001e-04,2.8188
2026-03-07T01:09:02.927729,31500,0.438846,0.6592,0.3434,0.9002,52,2.838675e-04,2.8635
2026-03-07T01:11:45.032696,32000,0.420808,0.7083,0.2189,0.8834,52,2.833264e-04,2.9086
2026-03-07T01:14:26.609794,32500,0.423183,0.6548,0.3087,0.9189,52,2.827769e-04,2.9534
2026-03-07T01:17:12.920408,33000,0.430202,0.6609,0.2646,0.9028,51,2.822191e-04,2.9996
2026-03-07T01:20:00.622627,33500,0.412737,0.5842,0.2381,0.8924,51,2.816530e-04,3.0462
2026-03-07T01:22:47.364477,34000,0.417622,0.6490,0.2624,0.9042,52,2.810786e-04,3.0925
2026-03-07T01:25:34.239944,34500,0.413792,0.7098,0.2381,0.8431,52,2.804959e-04,3.1389
2026-03-07T01:28:15.300383,35000,0.415507,0.6795,0.3524,0.8844,51,2.799050e-04,3.1836
2026-03-07T01:30:58.090567,35500,0.410894,0.6895,0.2960,0.8920,52,2.793059e-04,3.2289
2026-03-07T01:33:37.608878,36000,0.420623,0.6783,0.1844,0.9154,52,2.786987e-04,3.2732
2026-03-07T01:36:19.668252,36500,0.412076,0.7251,0.2136,0.9159,51,2.780834e-04,3.3182
2026-03-07T01:39:03.589352,37000,0.380893,0.7496,0.2029,0.9299,51,2.774601e-04,3.3637
2026-03-07T01:41:45.165917,37500,0.383361,0.6664,0.3516,0.9075,51,2.768287e-04,3.4086
2026-03-07T01:44:26.438798,38000,0.380765,0.7258,0.2495,0.9134,51,2.761893e-04,3.4534
2026-03-07T01:47:07.572689,38500,0.381365,0.6988,0.2513,0.9052,51,2.755420e-04,3.4982
2026-03-07T01:49:50.054566,39000,0.385066,0.7021,0.2704,0.8965,50,2.748868e-04,3.5433
2026-03-07T01:52:32.080941,39500,0.394672,0.7407,0.2714,0.8837,51,2.742237e-04,3.5883
2026-03-07T01:55:13.130382,40000,0.387510,0.6729,0.2109,0.8253,51,2.735528e-04,3.6330
2026-03-07T01:57:57.299064,40500,0.387903,0.7190,0.3207,0.9007,51,2.728742e-04,3.6786
2026-03-07T02:00:38.107938,41000,0.385394,0.6900,0.2414,0.9142,51,2.721878e-04,3.7233
2026-03-07T02:03:18.340520,41500,0.389129,0.7347,0.2639,0.8585,51,2.714937e-04,3.7678
